size,nb,ib,threads,GFlops
2048,16,8,8,6.4543
2048,24,8,8,13.5009
2048,24,16,8,17.4117
2048,32,8,8,19.0308
2048,32,16,8,27.6297
2048,32,24,8,27.6842
2048,40,8,8,24.5964
2048,40,16,8,34.4702
2048,40,24,8,42.9344
2048,40,32,8,41.9802
2048,48,8,8,30.0016
2048,48,16,8,47.2809
2048,48,24,8,50.2166
2048,48,32,8,55.6807
2048,48,40,8,57.0549
2048,56,8,8,35.3949
2048,56,16,8,52.2635
2048,56,24,8,56.3547
2048,56,32,8,64.1161
2048,56,40,8,67.4361
2048,56,48,8,66.499
2048,64,8,8,35.3777
2048,64,16,8,63.0066
2048,64,24,8,63.0217
2048,64,32,8,77.8491
2048,64,40,8,77.6319
2048,64,48,8,73.0591
2048,64,56,8,71.5079
2048,72,8,8,45.953
2048,72,16,8,62.5059
2048,72,24,8,68.519
2048,72,32,8,78.3648
2048,72,40,8,83.2467
2048,72,48,8,76.7816
2048,72,56,8,74.852
2048,72,64,8,70.7885
2048,80,8,8,47.4335
2048,80,16,8,70.7719
2048,80,24,8,79.4679
2048,80,32,8,82.5708
2048,80,40,8,94.9001
2048,80,48,8,86.8459
2048,80,56,8,84.223
2048,80,64,8,79.1518
2048,80,72,8,79.5263
2048,88,8,8,43.1439
2048,88,16,8,69.9918
2048,88,24,8,77.0967
2048,88,32,8,88.8595
2048,88,40,8,66.6409
2048,88,48,8,91.6918
2048,88,56,8,95.1601
2048,88,64,8,82.0606
2048,88,72,8,90.1731
2048,88,80,8,79.9551
2048,96,8,8,52.8094
2048,96,16,8,81.42
2048,96,24,8,97.5726
2048,96,32,8,97.097
2048,96,40,8,94.9008
2048,96,48,8,97.0208
2048,96,56,8,91.058
2048,96,64,8,88.1942
2048,96,72,8,89.1831
2048,96,80,8,81.9579
2048,96,88,8,64.139
2048,104,8,8,58.4029
2048,104,16,8,69.8608
2048,104,24,8,68.9228
2048,104,32,8,99.2041
2048,104,40,8,98.6024
2048,104,48,8,94.6929
2048,104,56,8,101.8125
2048,104,64,8,91.8217
2048,104,72,8,66.8231
2048,104,80,8,79.6943
2048,104,88,8,87.3754
2048,104,96,8,85.1451
2048,112,8,8,63.3891
2048,112,16,8,89.6252
2048,112,24,8,102.9705
2048,112,32,8,98.7765
2048,112,40,8,97.2019
2048,112,48,8,103.0131
2048,112,56,8,94.1216
2048,112,64,8,93.1636
2048,112,72,8,63.6599
2048,112,80,8,96.2364
2048,112,88,8,90.2867
2048,112,96,8,84.9703
2048,112,104,8,82.4123
2048,120,8,8,64.9172
2048,120,16,8,83.3471
2048,120,24,8,106.1244
2048,120,32,8,102.1845
2048,120,40,8,103.2553
2048,120,48,8,97.2471
2048,120,56,8,88.9141
2048,120,64,8,88.1603
2048,120,72,8,95.8813
2048,120,80,8,89.6807
2048,120,88,8,85.7491
2048,120,96,8,91.4547
2048,120,104,8,60.6636
2048,120,112,8,85.4472
2048,128,8,8,70.9181
2048,128,16,8,96.6924
2048,128,24,8,107.5595
2048,128,32,8,105.5876
2048,128,40,8,88.4189
2048,128,48,8,86.5854
2048,128,56,8,98.3738
2048,128,64,8,89.9071
2048,128,72,8,90.4679
2048,128,80,8,89.3975
2048,128,88,8,85.6587
2048,128,96,8,87.4109
2048,128,104,8,85.6324
2048,128,112,8,71.4794
2048,128,120,8,77.0406
2048,136,8,8,68.3405
2048,136,16,8,79.3847
2048,136,24,8,107.1603
2048,136,32,8,90.7198
2048,136,40,8,89.1069
2048,136,48,8,92.1918
2048,136,56,8,91.0051
2048,136,64,8,89.1457
2048,136,72,8,84.3979
2048,136,80,8,74.7067
2048,136,88,8,70.2049
2048,136,96,8,78.0702
2048,136,104,8,78.9342
2048,136,112,8,79.0796
2048,136,120,8,73.1714
2048,136,128,8,78.5249
2048,144,8,8,71.1215
2048,144,16,8,94.7964
2048,144,24,8,111.0494
2048,144,32,8,78.6461
2048,144,40,8,103.744
2048,144,48,8,99.4631
2048,144,56,8,96.8248
2048,144,64,8,88.3807
2048,144,72,8,97.1102
2048,144,80,8,89.3221
2048,144,88,8,67.2048
2048,144,96,8,82.3228
2048,144,104,8,88.5875
2048,144,112,8,87.7863
2048,144,120,8,91.1782
2048,144,128,8,80.0561
2048,144,136,8,83.4132
2048,152,8,8,75.8326
2048,152,16,8,101.0513
2048,152,24,8,103.0473
2048,152,32,8,104.1682
2048,152,40,8,116.0145
2048,152,48,8,99.6681
2048,152,56,8,82.3424
2048,152,64,8,86.5683
2048,152,72,8,80.1918
2048,152,80,8,79.3214
2048,152,88,8,83.7826
2048,152,96,8,71.6558
2048,152,104,8,87.855
2048,152,112,8,86.5233
2048,152,120,8,76.8654
2048,152,128,8,79.2858
2048,152,136,8,54.0124
2048,152,144,8,77.4101
2048,160,8,8,79.6496
2048,160,16,8,89.9383
2048,160,24,8,78.8554
2048,160,32,8,96.1869
2048,160,40,8,99.9578
2048,160,48,8,105.7905
2048,160,56,8,88.7056
2048,160,64,8,86.6051
2048,160,72,8,84.5591
2048,160,80,8,74.9921
2048,160,88,8,78.2904
2048,160,96,8,72.3484
2048,160,104,8,83.2461
2048,160,112,8,73.741
2048,160,120,8,83.7
2048,160,128,8,79.5611
2048,160,136,8,76.3306
2048,160,144,8,79.0274
2048,160,152,8,72.9159
2048,168,8,8,73.3982
2048,168,16,8,94.9023
2048,168,24,8,78.2621
2048,168,32,8,71.0535
2048,168,40,8,101.4727
2048,168,48,8,98.8933
2048,168,56,8,89.6841
2048,168,64,8,85.2464
2048,168,72,8,88.5556
2048,168,80,8,86.4834
2048,168,88,8,89.9001
2048,168,96,8,93.3481
2048,168,104,8,93.9995
2048,168,112,8,56.7796
2048,168,120,8,85.8441
2048,168,128,8,89.748
2048,168,136,8,80.5253
2048,168,144,8,81.263
2048,168,152,8,83.3156
2048,168,160,8,81.6211
2048,176,8,8,77.8957
2048,176,16,8,107.2093
2048,176,24,8,106.1793
2048,176,32,8,107.6696
2048,176,40,8,117.4217
2048,176,48,8,73.4937
2048,176,56,8,72.2007
2048,176,64,8,72.4944
2048,176,72,8,81.476
2048,176,80,8,86.0078
2048,176,88,8,82.4342
2048,176,96,8,75.3015
2048,176,104,8,88.3295
2048,176,112,8,75.3744
2048,176,120,8,70.2475
2048,176,128,8,77.0868
2048,176,136,8,81.3766
2048,176,144,8,70.9986
2048,176,152,8,75.2314
2048,176,160,8,72.0196
2048,176,168,8,68.1017
2048,184,8,8,76.2675
2048,184,16,8,101.9701
2048,184,24,8,100.6166
2048,184,32,8,107.2533
2048,184,40,8,109.688
2048,184,48,8,95.6253
2048,184,56,8,75.2511
2048,184,64,8,84.6809
2048,184,72,8,85.4446
2048,184,80,8,80.7244
2048,184,88,8,60.0246
2048,184,96,8,67.2083
2048,184,104,8,67.964
2048,184,112,8,52.599
2048,184,120,8,69.0818
2048,184,128,8,68.0543
2048,184,136,8,67.5761
2048,184,144,8,63.9375
2048,184,152,8,58.3938
2048,184,160,8,68.7537
2048,184,168,8,68.1065
2048,184,176,8,62.946
2048,192,8,8,71.7128
2048,192,16,8,77.5661
2048,192,24,8,60.585
2048,192,32,8,86.5597
2048,192,40,8,95.3486
2048,192,48,8,83.7521
2048,192,56,8,78.5334
2048,192,64,8,83.898
2048,192,72,8,79.8938
2048,192,80,8,80.6709
2048,192,88,8,61.924
2048,192,96,8,70.116
2048,192,104,8,68.2969
2048,192,112,8,68.3616
2048,192,120,8,85.0164
2048,192,128,8,70.0658
2048,192,136,8,78.6596
2048,192,144,8,75.9624
2048,192,152,8,75.5961
2048,192,160,8,79.756
2048,192,168,8,69.2145
2048,192,176,8,74.3736
2048,192,184,8,61.0198
2048,200,8,8,78.9228
2048,200,16,8,103.714
2048,200,24,8,96.1823
2048,200,32,8,99.761
2048,200,40,8,111.8852
2048,200,48,8,90.5831
2048,200,56,8,66.9852
2048,200,64,8,74.3949
2048,200,72,8,72.0437
2048,200,80,8,78.0102
2048,200,88,8,58.9949
2048,200,96,8,72.4165
2048,200,104,8,79.2651
2048,200,112,8,76.0283
2048,200,120,8,67.4699
2048,200,128,8,74.9209
2048,200,136,8,78.2958
2048,200,144,8,66.5566
2048,200,152,8,70.2896
2048,200,160,8,70.5337
2048,200,168,8,64.198
2048,200,176,8,68.4952
2048,200,184,8,68.7033
2048,200,192,8,58.3822
2048,208,8,8,82.7883
2048,208,16,8,105.3449
2048,208,24,8,102.9409
2048,208,32,8,103.3792
2048,208,40,8,103.3783
2048,208,48,8,98.0214
2048,208,56,8,78.344
2048,208,64,8,61.8803
2048,208,72,8,66.8465
2048,208,80,8,75.1041
2048,208,88,8,67.1037
2048,208,96,8,66.8648
2048,208,104,8,77.5672
2048,208,112,8,54.6999
2048,208,120,8,64.9197
2048,208,128,8,68.5276
2048,208,136,8,72.8
2048,208,144,8,66.6732
2048,208,152,8,63.026
2048,208,160,8,69.4128
2048,208,168,8,53.1774
2048,208,176,8,56.8227
2048,208,184,8,49.6214
2048,208,192,8,54.1533
2048,208,200,8,52.2739
2048,216,8,8,69.0502
2048,216,16,8,86.3588
2048,216,24,8,87.0561
2048,216,32,8,104.7328
2048,216,40,8,108.2196
2048,216,48,8,92.508
2048,216,56,8,75.0416
2048,216,64,8,80.0099
2048,216,72,8,71.9745
2048,216,80,8,69.4725
2048,216,88,8,57.7879
2048,216,96,8,73.8784
2048,216,104,8,71.197
2048,216,112,8,61.7193
2048,216,120,8,69.5198
2048,216,128,8,66.4652
2048,216,136,8,75.0216
2048,216,144,8,67.4511
2048,216,152,8,60.7935
2048,216,160,8,61.8228
2048,216,168,8,69.3746
2048,216,176,8,62.6655
2048,216,184,8,68.3188
2048,216,192,8,66.1124
2048,216,200,8,49.9998
2048,216,208,8,57.554
2048,224,8,8,85.0579
2048,224,16,8,101.02
2048,224,24,8,95.3414
2048,224,32,8,98.8335
2048,224,40,8,90.7738
2048,224,48,8,89.8551
2048,224,56,8,66.6688
2048,224,64,8,73.1024
2048,224,72,8,70.8047
2048,224,80,8,70.8414
2048,224,88,8,71.381
2048,224,96,8,67.0361
2048,224,104,8,65.5284
2048,224,112,8,63.0696
2048,224,120,8,68.965
2048,224,128,8,68.6042
2048,224,136,8,69.1427
2048,224,144,8,56.4241
2048,224,152,8,60.4205
2048,224,160,8,58.0542
2048,224,168,8,60.4469
2048,224,176,8,60.8862
2048,224,184,8,45.3216
2048,224,192,8,64.426
2048,224,200,8,56.8949
2048,224,208,8,58.9151
2048,224,216,8,55.6782
2048,232,8,8,75.1046
2048,232,16,8,97.2084
2048,232,24,8,99.989
2048,232,32,8,98.9216
2048,232,40,8,108.9613
2048,232,48,8,91.6792
2048,232,56,8,71.4433
2048,232,64,8,68.0204
2048,232,72,8,57.229
2048,232,80,8,73.1499
2048,232,88,8,71.5793
2048,232,96,8,72.7848
2048,232,104,8,69.5367
2048,232,112,8,68.2969
2048,232,120,8,63.668
2048,232,128,8,73.1593
2048,232,136,8,65.611
2048,232,144,8,67.0216
2048,232,152,8,66.1429
2048,232,160,8,64.7365
2048,232,168,8,63.6659
2048,232,176,8,55.1454
2048,232,184,8,63.7084
2048,232,192,8,64.3634
2048,232,200,8,61.5912
2048,232,208,8,60.7726
2048,232,216,8,61.4789
2048,232,224,8,56.4864
2048,240,8,8,70.0298
2048,240,16,8,101.9983
2048,240,24,8,111.4102
2048,240,32,8,102.9464
2048,240,40,8,108.3076
2048,240,48,8,97.1854
2048,240,56,8,67.2265
2048,240,64,8,51.0127
2048,240,72,8,70.149
2048,240,80,8,64.8995
2048,240,88,8,69.567
2048,240,96,8,71.8675
2048,240,104,8,64.972
2048,240,112,8,57.3288
2048,240,120,8,72.7825
2048,240,128,8,65.351
2048,240,136,8,62.2195
2048,240,144,8,68.1916
2048,240,152,8,66.9328
2048,240,160,8,66.0111
2048,240,168,8,65.7152
2048,240,176,8,60.2028
2048,240,184,8,53.7608
2048,240,192,8,66.056
