threads,size,nb,ib,Time_sec,GFlops
1,1024,32,8,1.29721e-05,10.104146591531055
1,1024,32,12,1.1701e-05,11.201777625843944
1,1024,32,16,9.87966e-06,13.266853312765823
1,1024,36,8,1.80311e-05,10.350117297336269
1,1024,36,12,1.46023e-05,12.7804523944858
1,1024,36,16,1.46181e-05,12.766638619246004
1,1024,40,8,2.11369e-05,12.11152061087482
1,1024,40,12,1.98361e-05,12.905762725535764
1,1024,40,16,1.69308e-05,15.120372339168853
1,1024,40,20,1.49996e-05,17.0671217899144
1,1024,44,8,2.79158e-05,12.205847584522026
1,1024,44,12,2.34448e-05,14.533542619258856
1,1024,44,16,2.08987e-05,16.304172029839176
1,1024,44,20,2.12076e-05,16.06669307229484
1,1024,48,8,3.15624e-05,14.015664208045015
1,1024,48,12,2.7085e-05,16.332582610300904
1,1024,48,16,2.349e-05,18.83218390804598
1,1024,48,20,2.41543e-05,18.314254604770163
1,1024,48,24,2.24463e-05,19.707836035337674
1,1024,52,8,4.02684e-05,13.967080887246574
1,1024,52,12,3.51117e-05,16.018364248954054
1,1024,52,16,3.15572e-05,17.822620511325468
1,1024,52,20,2.92684e-05,19.21635620669391
1,1024,52,24,3.03793e-05,18.51365897173404
1,1024,56,8,4.59141e-05,15.299526724905856
1,1024,56,12,3.99436e-05,17.586396819515514
1,1024,56,16,3.56176e-05,19.722384439153675
1,1024,56,20,3.27309e-05,21.461799095044743
1,1024,56,24,3.46078e-05,20.29785192933385
1,1024,56,28,3.16477e-05,22.196368140496784
1,1024,60,8,5.77269e-05,14.9670257713475
1,1024,60,12,4.63925e-05,18.623699951500782
1,1024,60,16,4.21725e-05,20.487284367775207
1,1024,60,20,3.90033e-05,22.15197175623601
1,1024,60,24,4.092e-05,21.114369501466275
1,1024,60,28,4.17602e-05,20.68955608450151
1,1024,64,8,6.69961e-05,15.65129910547032
1,1024,64,12,5.79248e-05,18.102367207137533
1,1024,64,16,4.81346e-05,21.784246674949
1,1024,64,20,4.84322e-05,21.65038961682517
1,1024,64,24,4.61081e-05,22.74168746922992
1,1024,64,28,4.66607e-05,22.472358965896355
1,1024,64,32,4.23779e-05,24.743462984244147
1,1024,68,8,7.84193e-05,16.03850072622428
1,1024,68,12,6.50079e-05,19.347310096157543
1,1024,68,16,5.95059e-05,21.13618985680412
1,1024,68,20,5.58486e-05,22.520313848511872
1,1024,68,24,5.3716e-05,23.41440166803187
1,1024,68,28,5.44371e-05,23.1042432458746
1,1024,68,32,5.32349e-05,23.626004745007503
1,1024,72,8,8.63875e-05,17.282500361742148
1,1024,72,12,7.24493e-05,20.607404074297477
1,1024,72,16,6.58386e-05,22.67654537004128
1,1024,72,20,6.22686e-05,23.97664312350045
1,1024,72,24,5.98558e-05,24.943146695892462
1,1024,72,28,6.00595e-05,24.858548605965748
1,1024,72,32,5.94113e-05,25.12976487637874
1,1024,72,36,5.50686e-05,27.11149366426602
1,1024,76,8,0.000102446,17.13980048025301
1,1024,76,12,8.77394e-05,20.01271948520277
1,1024,76,16,7.52496e-05,23.334396461908103
1,1024,76,20,7.13239e-05,24.6187322902982
1,1024,76,24,7.45439e-05,23.55530097030072
1,1024,76,28,6.92285e-05,25.363889149699904
1,1024,76,32,6.82092e-05,25.742920309870225
1,1024,76,36,6.94638e-05,25.277972123609707
1,1024,80,8,0.000113276,18.07973445390021
1,1024,80,12,9.69994e-05,21.113532661026767
1,1024,80,16,8.18211e-05,25.03021836665604
1,1024,80,20,7.79511e-05,26.27288133201456
1,1024,80,24,8.18866e-05,25.01019702857366
1,1024,80,28,7.72025e-05,26.527638353680256
1,1024,80,32,7.58819e-05,26.98930838579424
1,1024,80,36,7.61984e-05,26.877204770703845
1,1024,80,40,7.12704e-05,28.735632183908045
1,1024,84,8,0.000134588,17.615359467411654
1,1024,84,12,0.000109959,21.56090906610646
1,1024,84,16,0.000100265,23.645499426519724
1,1024,84,20,9.58187e-05,24.74272767215585
1,1024,84,24,9.41447e-05,25.18268155297112
1,1024,84,28,8.92184e-05,26.573173246774207
1,1024,84,32,8.58157e-05,27.62683285226363
1,1024,84,36,8.76566e-05,27.046634252298173
1,1024,84,40,8.85478e-05,26.7744201436964
1,1024,88,8,0.000144074,18.92005497175063
1,1024,88,12,0.000125239,21.765488386205572
1,1024,88,16,0.000109322,24.934487111468872
1,1024,88,20,0.000104575,26.06634472866364
1,1024,88,24,0.0001013,26.909062191510365
1,1024,88,28,0.000104426,26.103537433206288
1,1024,88,32,9.52539e-05,28.617074996404348
1,1024,88,36,9.48433e-05,28.74096536075822
1,1024,88,40,9.67647e-05,28.17027283709865
1,1024,88,44,9.08724e-05,29.99687473864452
1,1024,92,8,0.000167099,18.64015942644779
1,1024,92,12,0.000140042,22.24155610459719
1,1024,92,16,0.000122989,25.3254518696794
1,1024,92,20,0.000118152,26.36224524341526
1,1024,92,24,0.000116697,26.690934642707184
1,1024,92,28,0.000117487,26.51146084247619
1,1024,92,32,0.00010886,28.612456365974648
1,1024,92,36,0.000108251,28.773424725868583
1,1024,92,40,0.000110513,28.18448508320288
1,1024,92,44,0.000112242,27.750325190214
1,1024,96,8,0.000187968,18.827374872318693
1,1024,96,12,0.000154542,22.899561284311066
1,1024,96,16,0.000135218,26.172136845686225
1,1024,96,20,0.000128328,27.57733308397232
1,1024,96,24,0.00012638,28.002405443899352
1,1024,96,28,0.000127419,27.77406823158241
1,1024,96,32,0.000117843,30.031007357246505
1,1024,96,36,0.000117388,30.14740859372338
1,1024,96,40,0.000117825,30.035595162316994
1,1024,96,44,0.000120643,29.3340185505997
1,1024,96,48,0.000112716,31.39699776429256
1,1024,100,8,0.000210928,18.963817037093225
1,1024,100,12,0.000178567,22.40055553377724
1,1024,100,16,0.000159529,25.07381103122316
1,1024,100,20,0.000143863,27.80423041365744
1,1024,100,24,0.000150575,26.56483479993359
1,1024,100,28,0.000142621,28.046360634128213
1,1024,100,32,0.000140832,28.40263576459896
1,1024,100,36,0.000133775,29.900953092879835
1,1024,100,40,0.000132957,30.08491467166076
1,1024,100,44,0.000136702,29.260727714298252
1,1024,100,48,0.000134698,29.696060817532555
