4,4096,18,2,2.3328
4,4096,18,4,3.4696
4,4096,18,6,5.3188
4,4096,18,10,6.8488
4,4096,18,12,6.1554
4,4096,18,14,6.7562
4,4096,20,2,2.6077
4,4096,20,4,4.4688
4,4096,20,6,5.6154
4,4096,20,10,8.0319
4,4096,20,12,7.646
4,4096,20,14,7.9042
4,4096,20,18,7.5845
4,4096,22,2,3.0214
4,4096,22,4,5.1748
4,4096,22,6,6.3746
4,4096,22,10,8.167
4,4096,22,12,9.918
4,4096,22,14,10.0305
4,4096,22,18,9.9572
4,4096,22,20,10.1132
4,4096,26,2,3.8481
4,4096,26,4,6.3948
4,4096,26,6,8.8769
4,4096,26,10,12.4151
4,4096,26,12,11.5959
4,4096,26,14,14.2527
4,4096,26,18,14.3934
4,4096,26,20,14.8284
4,4096,26,22,14.7545
4,4096,28,2,4.1798
4,4096,28,4,7.3141
4,4096,28,6,9.9435
4,4096,28,10,13.7135
4,4096,28,12,13.8798
4,4096,28,14,16.8161
4,4096,28,18,17.4281
4,4096,28,20,17.4218
4,4096,28,22,17.0223
4,4096,28,26,16.7909
4,4096,30,2,4.8607
4,4096,30,4,7.5614
4,4096,30,6,10.8078
4,4096,30,10,16.4586
4,4096,30,12,16.1301
4,4096,30,14,15.7972
4,4096,30,18,20.0543
4,4096,30,20,19.8112
4,4096,30,22,20.4012
4,4096,30,26,19.727
4,4096,30,28,20.1245
4,4096,34,2,5.7106
4,4096,34,4,9.5306
4,4096,34,6,13.0801
4,4096,34,10,17.4313
4,4096,34,12,20.208
4,4096,34,14,20.6952
4,4096,34,18,24.688
4,4096,34,20,24.9827
4,4096,34,22,24.0126
4,4096,34,26,23.821
4,4096,34,28,24.9141
4,4096,34,30,24.657
4,4096,36,2,6.1828
4,4096,36,4,10.902
4,4096,36,6,14.1407
4,4096,36,10,20.5448
4,4096,36,12,22.9776
4,4096,36,14,23.9457
4,4096,36,18,27.3247
4,4096,36,20,28.8191
4,4096,36,22,28.3393
4,4096,36,26,28.503
4,4096,36,28,29.0828
4,4096,36,30,27.5762
4,4096,36,34,28.6211
4,4096,38,2,6.1971
4,4096,38,4,10.4855
4,4096,38,6,13.9443
4,4096,38,10,21.84
4,4096,38,12,21.7901
4,4096,38,14,24.6414
4,4096,38,18,24.9766
4,4096,38,20,30.5391
4,4096,38,22,30.8027
4,4096,38,26,30.0436
4,4096,38,28,30.1593
4,4096,38,30,29.4156
4,4096,38,34,30.4805
4,4096,38,36,30.1888
4,4096,42,2,6.4121
4,4096,42,4,13.2683
4,4096,42,6,18.6006
4,4096,42,10,23.6682
4,4096,42,12,27.4298
4,4096,42,14,30.3722
4,4096,42,18,30.2103
4,4096,42,20,30.9228
4,4096,42,22,36.8355
4,4096,42,26,36.935
4,4096,42,28,36.7773
4,4096,42,30,35.4066
4,4096,42,34,36.9448
4,4096,42,36,37.2473
4,4096,42,38,35.6251
